zone_id,structural_zone_key,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
AMZN::20250617::support::1,"AMZN::support::207.6750::14.9000::avwap_D,vp_D,vp_W::D,W",AMZN,2025-06-17,2025-06-24 23:59:59.999999,composite,support,200.22362680673598,215.12285999298095,207.67324339985845,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 77.22946740311878, 'structural_score': 70.62946740311878, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250625::resistance::1,AMZN::resistance::214.8900::6.5975::vp_D::D,AMZN,2025-06-25,2025-07-01 23:59:59.999999,inventory,resistance,211.59081070899964,218.18821025848388,214.88951048374176,D,vp_D,1,"{'institutional_score': 167.82221875764, 'structural_score': 160.50221875764, 'touch_count': 4, 'reaction_score': 3.66, 'source_label': 'vp_D', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20250625::support::2,"AMZN::support::208.3250::13.6000::avwap_D,vp_D,vp_W::D,W",AMZN,2025-06-25,2025-07-01 23:59:59.999999,composite,support,201.52296825408936,215.12285999298095,208.32291412353516,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 110.91627702976606, 'structural_score': 104.79627702976606, 'touch_count': 9, 'reaction_score': 3.0600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250702::resistance::1,AMZN::resistance::220.5000::2.2050::avwap_D::D,AMZN,2025-07-02,2025-07-09 23:59:59.999999,cost,resistance,219.39949817114126,221.60451825326328,220.50200821220227,D,avwap_D,1,"{'institutional_score': 158.45024767280313, 'structural_score': 158.45024767280313, 'touch_count': 0, 'reaction_score': 0.0, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AMZN::20250702::support::2,"AMZN::support::211.0550::19.8600::avwap_D,vp_D,vp_W::D,W",AMZN,2025-07-02,2025-07-09 23:59:59.999999,composite,support,201.12543371200562,220.98635504245757,211.0558943772316,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 74.56053204507225, 'structural_score': 68.68053204507225, 'touch_count': 10, 'reaction_score': 2.9400000000000004, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250710::resistance::1,AMZN::resistance::222.8750::2.9350::vp_D::D,AMZN,2025-07-10,2025-07-16 23:59:59.999999,inventory,resistance,221.40687984466553,224.3431252415975,222.87500254313153,D,vp_D,1,"{'institutional_score': 165.66228805916413, 'structural_score': 157.86228805916411, 'touch_count': 1, 'reaction_score': 3.9000000000000004, 'source_label': 'VP (D, 1h composite)', 'source_types': ['vp_D'], 'timeframes': ['D']}"
AMZN::20250710::support::2,AMZN::support::205.7550::5.4275::vp_W::W,AMZN,2025-07-10,2025-07-16 23:59:59.999999,inventory,support,203.04122469902038,208.46877362251283,205.7549991607666,W,vp_W,1,"{'institutional_score': 34.672480966983784, 'structural_score': 28.072480966983786, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
AMZN::20250710::support::3,"AMZN::support::216.4900::14.4475::avwap_D,vp_D,vp_W::D,W",AMZN,2025-07-10,2025-07-16 23:59:59.999999,composite,support,209.26548848521233,223.71380629062654,216.48964738791943,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 91.39490725288202, 'structural_score': 84.79490725288203, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250717::resistance::1,AMZN::resistance::225.0150::2.2500::avwap_D::D,AMZN,2025-07-17,2025-07-23 23:59:59.999999,cost,resistance,223.88774528012763,226.13787337339525,225.01280932676144,D,avwap_D,1,"{'institutional_score': 166.26061718233365, 'structural_score': 158.46061718233364, 'touch_count': 2, 'reaction_score': 3.9000000000000004, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
AMZN::20250717::support::2,AMZN::support::205.5600::5.6750::vp_W::W,AMZN,2025-07-17,2025-07-23 23:59:59.999999,inventory,support,202.72303857167563,208.39697180430093,205.56000518798828,W,vp_W,1,"{'institutional_score': 33.65777752094196, 'structural_score': 27.05777752094196, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
AMZN::20250717::support::3,"AMZN::support::213.1450::6.4425::avwap_D,vp_W::D,W",AMZN,2025-07-17,2025-07-23 23:59:59.999999,composite,support,209.92352160135906,216.36565789412305,213.14458974774107,"D,W","avwap_D,vp_W",2,"{'institutional_score': 57.26287509383886, 'structural_score': 50.422875093838854, 'touch_count': 6, 'reaction_score': 3.4200000000000004, 'source_label': 'avwap_D, vp_W', 'source_types': ['avwap_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250717::support::4,"AMZN::support::222.6950::8.8800::avwap_D,vp_D,vp_W::D,W",AMZN,2025-07-17,2025-07-23 23:59:59.999999,composite,support,218.25573125839233,227.13598983128867,222.6958605448405,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 178.8401715652351, 'structural_score': 173.7201715652351, 'touch_count': 4, 'reaction_score': 2.5600000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
AMZN::20250724::support::1,AMZN::support::205.0000::5.8950::vp_W::W,AMZN,2025-07-24,2025-07-30 23:59:59.999999,inventory,support,202.05415979385376,207.95001348495484,205.0020866394043,W,vp_W,1,"{'institutional_score': 28.662974002233682, 'structural_score': 22.06297400223368, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'VP (W, 1d higher-timeframe composite)', 'source_types': ['vp_W'], 'timeframes': ['W']}"
AMZN::20250724::support::2,"AMZN::support::213.6500::7.8800::avwap_D,vp_W::D,W",AMZN,2025-07-24,2025-07-30 23:59:59.999999,composite,support,209.70736711502076,217.58802816400953,213.64769763951514,"D,W","avwap_D,vp_W",2,"{'institutional_score': 45.87117009185511, 'structural_score': 39.27117009185511, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_D, vp_W', 'source_types': ['avwap_D', 'vp_W'], 'timeframes': ['D', 'W']}"
