event_id,ticker,zone_id,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,is_first_test,prior_test_count,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,outcome_window_end
AMZN::20251007::support::3::probe::2025-10-10T00:00:00,AMZN,AMZN::20251007::support::3,2025-10-10,probe,down,216.3699951171875,218.25399567921954,-0.008632146944979952,3,True,0,composite,support,"D,W",0.02291986175752883,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-07T00:00:00"", ""zone_valid_to"": ""2025-10-13T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251007::support::3::test::2025-10-13T00:00:00,AMZN,AMZN::20251007::support::3,2025-10-13,test,down,220.07000732421875,218.25399567921954,0.008320634127900706,4,False,1,composite,support,"D,W",0.02291986175752883,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-07T00:00:00"", ""zone_valid_to"": ""2025-10-13T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251014::support::3::probe::2025-10-14T00:00:00,AMZN,AMZN::20251014::support::3,2025-10-14,probe,down,216.38999938964844,218.7835248029683,-0.010940153814028762,0,True,0,cost,support,D,0.009999999999999879,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-14T00:00:00"", ""zone_valid_to"": ""2025-10-20T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251014::support::3::breakout_down::2025-10-15T00:00:00,AMZN,AMZN::20251014::support::3,2025-10-15,breakout_down,down,215.57000732421875,218.7835248029683,-0.01468811457189732,1,False,1,cost,support,D,0.009999999999999879,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-10-14T00:00:00"", ""zone_valid_to"": ""2025-10-20T23:59:59.999999""}",failure,0,1,0,-0.002922436343734631,0.12501737733723417,-0.12288346863825947,1,1.0,,2025-02-04
AMZN::20251014::support::3::retest_down::2025-10-16T00:00:00,AMZN,AMZN::20251014::support::3,2025-10-16,retest_down,down,214.47000122070312,218.7835248029683,-0.019715943356108868,2,False,2,cost,support,D,0.009999999999999879,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""retest_down"", ""zone_valid_from"": ""2025-10-14T00:00:00"", ""zone_valid_to"": ""2025-10-20T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251014::support::3::probe::2025-10-20T00:00:00,AMZN,AMZN::20251014::support::3,2025-10-20,probe,down,216.47999572753906,218.7835248029683,-0.010528805025441167,4,False,2,cost,support,D,0.009999999999999879,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-14T00:00:00"", ""zone_valid_to"": ""2025-10-20T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251021::resistance::1::probe::2025-10-21T00:00:00,AMZN,AMZN::20251021::resistance::1,2025-10-21,probe,up,222.02999877929688,218.49099525133767,0.016197480010048802,0,True,0,composite,resistance,D,0.013460066486348636,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-21T00:00:00"", ""zone_valid_to"": ""2025-10-27T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251021::resistance::1::test::2025-10-22T00:00:00,AMZN,AMZN::20251021::resistance::1,2025-10-22,test,up,217.9499969482422,218.49099525133767,-0.002476066816726927,1,False,1,composite,resistance,D,0.013460066486348636,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-21T00:00:00"", ""zone_valid_to"": ""2025-10-27T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20251021::resistance::1::breakout_up::2025-10-24T00:00:00,AMZN,AMZN::20251021::resistance::1,2025-10-24,breakout_up,up,224.2100067138672,218.49099525133767,0.026175044220704602,3,False,2,composite,resistance,D,0.013460066486348636,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-10-21T00:00:00"", ""zone_valid_to"": ""2025-10-27T23:59:59.999999""}",failure,0,1,0,0.08166449761522304,0.035725478461125205,0.065206702106946,1,3.0,8.0,2025-02-06
AMZN::20251021::resistance::1::probe::2025-10-27T00:00:00,AMZN,AMZN::20251021::resistance::1,2025-10-27,probe,up,226.97000122070312,218.49099525133767,0.03880711861654421,4,False,3,composite,resistance,D,0.013460066486348636,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-21T00:00:00"", ""zone_valid_to"": ""2025-10-27T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
